YEAR,PLANT,SCALENO,ID,LENGTH,WEIGHT,AGE,SPECIES,READER,VESSEL,LOCATION,MONTH,DAY,COLL,AREA,ring_1,ring_2,ring_3,ring_4,ring_5,ring_6,ring_7,ring_8,ring_9,ring_10,edge
98,56,1795,1,184,148,2,0,2,685,2988A2,5,26,9955,8,103,159,,,,,,,,,170
98,56,1795,2,185,151,2,0,2,685,2988A2,5,26,9955,8,65,161,,,,,,,,,180
98,56,1795,3,195,148,3,0,2,685,2988A2,5,26,9955,8,89,126,163,,,,,,,,175
98,56,1795,4,179,121,2,0,2,685,2988A2,5,26,9955,8,112,159,,,,,,,,,166
98,56,1795,5,171,117,40,0,2,685,2988A2,5,26,9955,8,,,,,,,,,,,
98,56,1795,6,181,120,2,0,2,685,2988A2,5,26,9955,8,,,,,,,,,,,
98,56,1795,7,182,131,2,0,2,685,2988A2,5,26,9955,8,75,161,,,,,,,,,172
98,56,1795,8,175,118,2,0,2,685,2988A2,5,26,9955,8,61,132,,,,,,,,,154
98,56,1795,9,184,133,2,0,2,685,2988A2,5,26,9955,8,73,132,,,,,,,,,149
98,56,1795,10,161,94,1,0,2,685,2988A2,5,26,9955,8,92,,,,,,,,,,139
98,56,1796,1,194,178,2,0,2,726,2988A1,5,26,9956,8,73,132,,,,,,,,,148
98,56,1796,2,186,143,2,0,2,726,2988A1,5,26,9956,8,84,165,,,,,,,,,183
98,56,1796,3,179,131,2,0,2,726,2988A1,5,26,9956,8,79,153,,,,,,,,,165
98,56,1796,4,185,131,2,0,2,726,2988A1,5,26,9956,8,86,145,,,,,,,,,163
98,56,1796,5,184,126,2,0,2,726,2988A1,5,26,9956,8,,,,,,,,,,,
98,56,1796,6,177,123,2,0,2,726,2988A1,5,26,9956,8,79,132,,,,,,,,,147
98,56,1796,7,179,112,2,0,2,726,2988A1,5,26,9956,8,,,,,,,,,,,
98,56,1796,8,172,110,2,0,2,726,2988A1,5,26,9956,8,,,,,,,,,,,
98,56,1796,9,173,104,2,0,2,726,2988A1,5,26,9956,8,104,139,,,,,,,,,159
98,56,1796,10,177,109,2,0,2,726,2988A1,5,26,9956,8,,,,,,,,,,,
98,56,1797,1,186,134,2,0,2,737,3088E5,5,27,9957,8,97,163,,,,,,,,,171
98,56,1797,2,169,103,2,0,2,737,3088E5,5,27,9957,8,,,,,,,,,,,
98,56,1797,3,172,106,2,0,2,737,3088E5,5,27,9957,8,63,117,,,,,,,,,133
98,56,1797,4,175,102,2,0,2,737,3088E5,5,27,9957,8,70,126,,,,,,,,,135
98,56,1797,5,156,72,1,0,2,737,3088E5,5,27,9957,8,112,,,,,,,,,,141
98,56,1797,6,151,67,1,0,2,737,3088E5,5,27,9957,8,112,,,,,,,,,,132
98,56,1797,7,152,69,1,0,2,737,3088E5,5,27,9957,8,92,,,,,,,,,,131
98,56,1797,8,146,60,1,0,2,737,3088E5,5,27,9957,8,105,,,,,,,,,,132
98,56,1797,9,143,56,1,0,2,737,3088E5,5,27,9957,8,94,,,,,,,,,,120
98,56,1797,10,135,50,1,0,2,737,3088E5,5,27,9957,8,105,,,,,,,,,,136
98,56,1798,1,184,140,2,0,2,732,3088A4,5,27,9958,8,86,144,,,,,,,,,151
98,56,1798,2,188,138,40,0,2,732,3088A4,5,27,9958,8,,,,,,,,,,,
98,56,1798,3,176,119,2,0,2,732,3088A4,5,27,9958,8,61,131,,,,,,,,,148
98,56,1798,4,180,121,2,0,2,732,3088A4,5,27,9958,8,92,150,,,,,,,,,164
98,56,1798,5,174,115,2,0,2,732,3088A4,5,27,9958,8,,,,,,,,,,,
