YEAR,PLANT,SCALENO,ID,LENGTH,WEIGHT,AGE,SPECIES,READER,VESSEL,LOCATION,MONTH,DAY,COLL,AREA,ring_1,ring_2,ring_3,ring_4,ring_5,ring_6,ring_7,ring_8,ring_9,ring_10,edge
1,56,2132,1,205,197,3,0,2,737,2991B5,5,18,293,8,81,144,161,,,,,,,,174
1,56,2132,2,203,171,3,0,2,737,2991B5,5,18,293,8,98,151,161,,,,,,,,173
1,56,2132,3,192,154,40,0,2,737,2991B5,5,18,293,8,,,,,,,,,,,
1,56,2132,4,200,165,3,0,2,737,2991B5,5,18,293,8,97,153,176,,,,,,,,189
1,56,2132,5,197,163,3,0,2,737,2991B5,5,18,293,8,102,163,173,,,,,,,,182
1,56,2132,6,194,162,3,0,2,737,2991B5,5,18,293,8,78,124,161,,,,,,,,173
1,56,2132,7,182,147,2,0,2,737,2991B5,5,18,293,8,84,132,,,,,,,,,157
1,56,2132,8,176,127,2,0,2,737,2991B5,5,18,293,8,90,141,,,,,,,,,161
1,56,2132,9,174,118,2,0,2,737,2991B5,5,18,293,8,,,,,,,,,,,
1,56,2132,10,177,121,2,0,2,737,2991B5,5,18,293,8,58,141,,,,,,,,,160
1,56,2133,1,215,196,3,0,2,726,2991D5,5,18,294,8,87,168,202,,,,,,,,218
1,56,2133,2,192,158,2,0,2,726,2991D5,5,18,294,8,120,184,,,,,,,,,199
1,56,2133,3,195,158,40,0,2,726,2991D5,5,18,294,8,,,,,,,,,,,
1,56,2133,4,180,130,2,0,2,726,2991D5,5,18,294,8,64,148,,,,,,,,,167
1,56,2133,5,185,140,2,0,2,726,2991D5,5,18,294,8,101,144,,,,,,,,,160
1,56,2133,6,178,127,2,0,2,726,2991D5,5,18,294,8,67,138,,,,,,,,,158
1,56,2133,7,174,123,2,0,2,726,2991D5,5,18,294,8,90,138,,,,,,,,,160
1,56,2133,8,174,120,2,0,2,726,2991D5,5,18,294,8,75,139,,,,,,,,,166
1,56,2133,9,168,104,2,0,2,726,2991D5,5,18,294,8,,,,,,,,,,,
1,56,2133,10,169,108,2,0,2,726,2991D5,5,18,294,8,,,,,,,,,,,
1,56,2134,1,199,180,2,0,2,733,2991D5,5,18,295,8,99,164,,,,,,,,,177
1,56,2134,2,199,151,2,0,2,733,2991D5,5,18,295,8,78,126,,,,,,,,,150
1,56,2134,3,183,145,2,0,2,733,2991D5,5,18,295,8,75,156,,,,,,,,,174
